kdrama_name,tags
SKY Castle, strong female lead 
Do You Like Brahms?,love triangle
Do You Like Brahms?, classical music
Do You Like Brahms?, friends to lovers
Do You Like Brahms?, nice female lead
Do You Like Brahms?, shy female lead
Do You Like Brahms?, hardworking female lead
Do You Like Brahms?, persevering female lead
Do You Like Brahms?, perseverance
Do You Like Brahms?, first love
Do You Like Brahms?, nice male lead 
Suspicious Partner,cohabitation
Suspicious Partner, nice male lead
Suspicious Partner, hardworking female lead
Suspicious Partner, smart male lead
Suspicious Partner, tragic past
Suspicious Partner, nice female lead
Suspicious Partner, exgirlfriend comes back
Suspicious Partner, steamy kiss
Suspicious Partner, strong female lead
Suspicious Partner, wrongfully accused 
The World of the Married,extramarital affair
The World of the Married, revenge
The World of the Married, strong female lead
The World of the Married, lying
The World of the Married, sexual content
The World of the Married, successful female lead
The World of the Married, friends to enemies
The World of the Married, psychological
The World of the Married, suspense
The World of the Married, greed 
Pinocchio,tragic past
Pinocchio, hidden identity
Pinocchio, double identity
Pinocchio, journalism
Pinocchio, adopted siblings love
Pinocchio, cohabitation
Pinocchio, revenge
Pinocchio, wrongfully accused
Pinocchio, bromance
Pinocchio, news media 
The Devil Judge,corruption
The Devil Judge, tough past
The Devil Judge, dystopia
The Devil Judge, hardworking male lead
The Devil Judge, antihero
The Devil Judge, strong female lead
The Devil Judge, bromance
The Devil Judge, rivalry
The Devil Judge, revenge
The Devil Judge, unrequited love 
A Korean Odyssey,ghostseeing female lead
A Korean Odyssey, special power
A Korean Odyssey, supernatural power
A Korean Odyssey, demon
A Korean Odyssey, steamy kiss
A Korean Odyssey, aggressive male lead
A Korean Odyssey, ghost
A Korean Odyssey, tough male lead
A Korean Odyssey, lovehate relationship
A Korean Odyssey, bromance 
Bulgasal,curse
Bulgasal, reincarnation
Bulgasal, revenge
Bulgasal, immortal
Bulgasal, hidden identity
Bulgasal, found family
Bulgasal, suspense
Bulgasal, dark fiction
Bulgasal, grudge
Bulgasal, death 
Record of Youth,dysfunctional family
Record of Youth, family relationship
Record of Youth, hardworking male lead
Record of Youth, family pressure
Record of Youth, love triangle
Record of Youth, grandpagrandson relationship
Record of Youth, strong female lead
Record of Youth, modeling
Record of Youth, nice male lead
Record of Youth, hardworking female lead 
The Iron Empress,transmigration
